word	freq	ascii
oblíbený	12282	oblibeny
tlak	12282	tlak
soubor	12266	soubor
řidič	12264	ridic
historický	12260	historicky
klasický	12250	klasicky
klid	12250	klid
kilometr	12242	kilometr
usmát	12230	usmat
výrazný	12217	vyrazny
kapitola	12198	kapitola
sezona	12191	sezona
podat	12180	podat
očekávat	12178	ocekavat
chystat	12166	chystat
pořádek	12157	poradek
obrátit	12154	obratit
výrobce	12129	vyrobce
poslouchat	12112	poslouchat
požadavek	12101	pozadavek
vytáhnout	12101	vytahnout
kancelář	12097	kancelar
zaplatit	12096	zaplatit
slavný	12092	slavny
zajistit	12088	zajistit
muzeum	12079	muzeum
výstava	12066	vystava
dostávat	12051	dostavat
aniž	12036	aniz
probíhat	12036	probihat
zvládnout	12027	zvladnout
přemýšlet	12023	premyslet
budoucnost	11997	budoucnost
reakce	11986	reakce
podlaha	11974	podlaha
policista	11964	policista
přímý	11946	primy
předpokládat	11940	predpokladat
snaha	11940	snaha
obrázek	11920	obrazek
hledisko	11880	hledisko
kdysi	11880	kdysi
stovka	11879	stovka
svatý	11877	svaty
uvnitř	11867	uvnitr
vznik	11865	vznik
cm	11863	cm
opustit	11845	opustit
drobný	11839	drobny
ztráta	11833	ztrata
scéna	11805	scena
napětí	11803	napeti
liga	11783	liga
anebo	11781	anebo
září	11781	zari
avšak	11750	avsak
přesvědčit	11735	presvedcit
vítr	11708	vitr
partner	11670	partner
duše	11668	duse
učitel	11667	ucitel
pevný	11665	pevny
dozvědět	11657	dozvedet
produkt	11645	produkt
struktura	11643	struktura
technika	11641	technika
volat	11621	volat
zavřít	11596	zavrit
kulturní	11595	kulturni
dolar	11594	dolar
vedoucí	11594	vedouci
domov	11593	domov
zabít	11571	zabit
výška	11568	vyska
souvislost	11564	souvislost
buď	11532	bud
výhoda	11525	vyhoda
park	11521	park
komunikace	11518	komunikace
skvělý	11504	skvely
kostel	11491	kostel
dodávat	11480	dodavat
divák	11476	divak
generace	11461	generace
potvrdit	11459	potvrdit
předseda	11413	predseda
určit	11403	urcit
stanice	11397	stanice
gól	11394	gol
drahý	11389	drahy
vznikat	11386	vznikat
pryč	11385	pryc
kategorie	11354	kategorie
vstoupit	11346	vstoupit
všude	11326	vsude
utkání	11319	utkani
maso	11318	maso
učit	11307	ucit
přírodní	11299	prirodni
konečný	11290	konecny
ucho	11284	ucho
návštěvník	11278	navstevnik
cizí	11276	cizi
maminka	11273	maminka
veřejnost	11272	verejnost
dispozice	11249	dispozice
střecha	11241	strecha
obr	11212	obr
uživatel	11209	uzivatel
zkusit	11209	zkusit
následovat	11203	nasledovat
náročný	11179	narocny
dávno	11174	davno
internet	11164	internet
vyrazit	11162	vyrazit
neustále	11158	neustale
souhlasit	11156	souhlasit
prodej	11152	prodej
řídit	11151	ridit
uprostřed	11140	uprostred
krk	11133	krk
krajina	11118	krajina
takto	11117	takto
ruský	11097	rusky
hudební	11078	hudebni
krize	11074	krize
hotel	11070	hotel
motor	11065	motor
setkat	11065	setkat
praxe	11050	praxe
předchozí	11042	predchozi
prázdný	11031	prazdny
bránit	11019	branit
režim	11015	rezim
povinnost	11012	povinnost
karta	10960	karta
sport	10960	sport
noviny	10959	noviny
pokus	10958	pokus
společenský	10957	spolecensky
tušit	10951	tusit
uvádět	10948	uvadet
ozvat	10934	ozvat
povídat	10926	povidat
francouzský	10920	francouzsky
nosit	10900	nosit
mozek	10897	mozek
okraj	10897	okraj
dojem	10896	dojem
naděje	10889	nadeje
smát	10883	smat
zabývat	10879	zabyvat
dřevěný	10871	dreveny
jižní	10864	jizni
způsobit	10845	zpusobit
záležet	10825	zalezet
délka	10817	delka
právní	10816	pravni
titul	10812	titul
ret	10800	ret
hrozit	10791	hrozit
nejprve	10790	nejprve
zbraň	10789	zbran
zvolit	10728	zvolit
sobota	10722	sobota
hovořit	10720	hovorit
dokument	10717	dokument
přiznat	10693	priznat
správa	10682	sprava
údaj	10679	udaj
paměť	10670	pamet
odborník	10662	odbornik
nijak	10646	nijak
stopa	10643	stopa
král	10642	kral
odborný	10638	odborny
časopis	10632	casopis
řád	10627	rad
sportovní	10591	sportovni
kontakt	10565	kontakt
složitý	10564	slozity
horní	10562	horni
založit	10547	zalozit
bojovat	10541	bojovat
pivo	10538	pivo
západní	10529	zapadni
soukromý	10527	soukromy
zpět	10498	zpet
krátce	10497	kratce
občan	10476	obcan
přirozený	10466	prirozeny
vyžadovat	10442	vyzadovat
použití	10430	pouziti
končit	10422	koncit
riziko	10417	riziko
vojenský	10417	vojensky
šaty	10415	saty
analýza	10398	analyza
uvažovat	10397	uvazovat
běžet	10393	bezet
konat	10389	konat
vydržet	10383	vydrzet
ročník	10366	rocnik
dospělý	10359	dospely
dopravní	10357	dopravni
lehký	10347	lehky
vadit	10313	vadit
záležitost	10301	zalezitost
případně	10286	pripadne
svoboda	10279	svoboda
mistr	10262	mistr
starosta	10251	starosta
holka	10244	holka
zub	10244	zub
zadní	10238	zadni
zdravý	10238	zdravy
odpoledne	10228	odpoledne
opakovat	10216	opakovat
využití	10210	vyuziti
uvedený	10201	uvedeny
rána	10196	rana
stín	10188	stin
osud	10180	osud
vozidlo	10176	vozidlo
bota	10172	bota
klidně	10153	klidne
náměstí	10151	namesti
zdraví	10143	zdravi
mysl	10118	mysl
plyn	10080	plyn
elektrický	10075	elektricky
píseň	10060	pisen
objevovat	10055	objevovat
pocházet	10053	pochazet
